TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
14,PEAK ESPORTS,1,5280495414,PeakDoñaMarta,34,4,690,171,0,6,0,379,800,21m 19s,7m 9s,497,0,0,6204,1765,2,6,2,0,0,1,1066,0,5,0,0,7,"101004,102002","M416,UMP45",M416:185.7 / UMP45:54.6,M416:1 / UMP45:0,M416:165 / UMP45:36,M416:10 / UMP45:2,201,12,5.97
14,PEAK ESPORTS,1,5370512387,PeakHede,100,0,330,0,0,2,0,161,452,19m 19s,7m 7s,391,0,0,4971,1818,1,0,2,0,0,0,1066,2,3,0,0,4,"101004,101001,101007","M416,AKM,QBZ",M416:223.6 / AKM:0.0 / QBZ:0.0,M416:1 / AKM:0 / QBZ:0,M416:90 / AKM:6 / QBZ:0,M416:9 / AKM:0 / QBZ:0,96,9,9.38
14,PEAK ESPORTS,1,5495377276,PeakDonGocho,100,0,46,0,0,0,0,72,25,8m 43s,2m 32s,96,0,0,1085,686,0,0,0,0,0,0,1066,0,0,0,0,4,"102002,101003,101007,106011","UMP45,SCAR-L,QBZ,Arma 106011",UMP45:0.0 / SCAR-L:70.6 / QBZ:0.0 / Arma 106011:0.0,UMP45:0 / SCAR-L:0 / QBZ:0 / Arma 106011:0,UMP45:9 / SCAR-L:82 / QBZ:0 / Arma 106011:0,UMP45:0 / SCAR-L:4 / QBZ:0 / Arma 106011:0,91,4,4.4
14,PEAK ESPORTS,1,51793755439,nexHAANz,100,0,0,0,0,0,0,83,20,8m 26s,1m 54s,74,0,0,0,900,0,0,0,0,0,0,1066,1,0,1,0,0,"101101,102002","Arma 101101,UMP45",Arma 101101:0.0 / UMP45:57.0,Arma 101101:0 / UMP45:1,Arma 101101:22 / UMP45:18,Arma 101101:0 / UMP45:2,40,2,5
13,KOMANDOS UNIDOS,2,5197890636,KU2Loki7k,0,2,513,207,4,1,1,295,391,21m 19s,5m 42s,262,0,0,6360,2672,0,4,2,2,0,0,1684,0,3,0,0,2,"102003,101007,107008","Vector,QBZ,Arma 107008",Vector:79.2 / QBZ:18.1 / Arma 107008:20.2,Vector:0 / QBZ:0 / Arma 107008:0,Vector:10 / QBZ:24 / Arma 107008:7,Vector:3 / QBZ:1 / Arma 107008:1,41,5,12.2
13,KOMANDOS UNIDOS,2,5389929087,KU2Juan77k,0,2,398,77,2,3,0,145,300,21m 19s,5m 42s,254,0,1,7263,2379,2,3,5,0,0,0,1684,3,5,0,0,3,"102004,103009","Thompson SMG,SLR",Thompson SMG:312.6 / SLR:112.8,Thompson SMG:1 / SLR:0,Thompson SMG:89 / SLR:5,Thompson SMG:9 / SLR:2,94,11,11.7
13,KOMANDOS UNIDOS,2,5112132059,KU2Zeus,0,2,256,38,2,2,0,373,424,21m 7s,5m 35s,252,0,0,6327,1887,1,4,2,0,0,0,1684,0,0,0,0,0,"103008,102002,101004","Win94,UMP45,M416",Win94:0.0 / UMP45:0.0 / M416:0.0,Win94:0 / UMP45:0 / M416:0,Win94:18 / UMP45:0 / M416:0,Win94:0 / UMP45:0 / M416:0,18,0,0
13,KOMANDOS UNIDOS,2,51206156362,KU2URÎEL77K,0,3,517,23,3,2,1,268,313,21m 6s,5m 42s,242,0,0,6876,2099,1,3,2,0,0,0,1684,0,0,0,0,0,,,,,,,0,0,0
19,ZOOP ESPORTS,3,517554281,zoplNGE,0,5,677,184,0,4,0,190,147,21m 8s,0m 57s,32,0,1,4215,1592,2,3,2,0,0,0,1652,2,17,0,0,4,"102002,101006,103006","UMP45,AUG A3,Mini14",UMP45:593.5 / AUG A3:46.8 / Mini14:0.0,UMP45:2 / AUG A3:1 / Mini14:0,UMP45:128 / AUG A3:97 / Mini14:0,UMP45:21 / AUG A3:2 / Mini14:0,225,23,10.22
19,ZOOP ESPORTS,3,577475153,zopMalditoAlez,0,0,317,0,1,1,0,330,142,20m 55s,0m 57s,37,0,0,3217,1846,0,0,2,1,0,0,1652,0,0,0,0,0,"104002,106001","S1897,P92",S1897:0.0 / P92:0.0,S1897:0 / P92:0,S1897:2 / P92:15,S1897:0 / P92:0,17,0,0
